price_mode,year,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3
raw,2025,magic_repo50_c440_c5gt3_regime,8,8,0.056412539632038516,0.0672231737772804,0.625,8,-0.009714568722280669,-0.1193956186965307,0.375,0.375,0.125
raw,2026,magic_repo50_c440_c5gt3_regime,24,21,0.2374642869651657,0.2008921251905897,0.8095238095238095,7,0.3844217083219674,0.4267191606423355,0.8571428571428571,0.3333333333333333,0.25
raw,2021,magic_repo60_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo60_c440_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo60_c440_c5gt3_regime,13,13,0.21514739784472053,0.1146104700687459,0.7692307692307693,13,0.2844954245996148,0.2168300680437533,0.7692307692307693,0.15384615384615385,0.07692307692307693
raw,2024,magic_repo60_c440_c5gt3_regime,5,5,0.127456461081688,-0.078263568350498,0.4,5,0.03454922478839576,-0.2108945594510404,0.4,0.0,0.0
raw,2025,magic_repo60_c440_c5gt3_regime,6,6,0.047481773787775704,0.0304082345754672,0.5,6,-0.08175366799264304,-0.18970811869653065,0.16666666666666666,0.5,0.16666666666666666
raw,2026,magic_repo60_c440_c5gt3_regime,15,13,0.27079249741381334,0.2062655613599279,0.8461538461538461,5,0.5169038849610036,0.6487219270996485,0.8,0.4,0.2
raw,2021,magic_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2022,magic_c440_c5gt5_regime,0,0,,,,0,,,,,
raw,2023,magic_c440_c5gt5_regime,19,19,0.16274581809308683,0.1146104700687459,0.6842105263157895,19,0.2257890441517362,0.1452419039592731,0.6842105263157895,0.15789473684210525,0.10526315789473684
raw,2024,magic_c440_c5gt5_regime,11,11,0.01727972649046984,-0.078263568350498,0.36363636363636365,11,-0.013645152163039749,-0.1190009671082794,0.36363636363636365,0.09090909090909091,0.0
raw,2025,magic_c440_c5gt5_regime,13,13,0.04002053895385354,0.0458269612811221,0.5384615384615384,13,-0.0020907731988308864,-0.1298245463012459,0.38461538461538464,0.3076923076923077,0.07692307692307693
